ID,date,time,depth,temperature,salinity
15FI5_10432,2015/08/01,NULL,497.69 ,8.380 ,34.380 
15FI5_10432,2015/09/01,NULL,498.28 ,8.131 ,34.381 
15FI5_10432,2015/10/01,NULL,498.30 ,8.378 ,34.394 
15FI5_10432,2015/11/01,NULL,498.35 ,8.569 ,34.387 
15FI5_10432,2015/12/01,NULL,498.29 ,8.732 ,34.393 
15FI5_10432,2016/01/01,NULL,498.33 ,8.972 ,34.399 
15FI5_10432,2016/02/01,NULL,498.29 ,8.595 ,34.399 
15FI5_10432,2016/03/01,NULL,498.38 ,8.762 ,34.399 
15FI5_10432,2016/04/01,NULL,498.30 ,8.725 ,34.391 
15FI5_10432,2016/05/01,NULL,498.23 ,8.696 ,34.376 
15FI5_10432,2016/06/01,NULL,498.34 ,8.375 ,34.372 
15FI5_10432,2016/07/01,NULL,498.31 ,8.257 ,34.365 
