ID,date,time,depth,temperature,salinity
15FI4_07068,2015/06/01,NULL,165.55 ,15.540 ,34.575 
15FI4_07068,2015/07/01,NULL,166.45 ,15.366 ,34.564 
15FI4_07068,2015/08/01,NULL,195.66 ,15.252 ,34.571 
15FI4_07068,2015/09/01,NULL,169.35 ,16.189 ,34.617 
15FI4_07068,2015/10/01,NULL,159.55 ,16.470 ,34.617 
15FI4_07068,2015/11/01,NULL,177.95 ,17.977 ,34.703 
15FI4_07068,2015/12/01,NULL,162.27 ,16.953 ,34.645 
15FI4_07068,2016/01/01,NULL,201.24 ,17.107 ,34.657 
15FI4_07068,2016/02/01,NULL,176.92 ,15.084 ,34.561 
15FI4_07068,2016/03/01,NULL,181.61 ,16.238 ,34.602 
15FI4_07068,2016/04/01,NULL,172.31 ,16.604 ,34.619 
15FI4_07068,2016/05/01,NULL,177.67 ,16.800 ,34.658 
15FI4_07068,2016/06/01,NULL,193.46 ,15.188 ,34.569 
15FI4_07068,2016/07/01,NULL,181.41 ,15.574 ,34.583 
15FI4_07080,2015/06/01,NULL,934.09 ,4.605 ,34.526 
15FI4_07080,2015/07/01,NULL,933.78 ,4.546 ,34.529 
15FI4_07080,2015/08/01,NULL,934.29 ,4.409 ,34.522 
15FI4_07080,2015/09/01,NULL,933.96 ,4.336 ,34.530 
15FI4_07080,2015/10/01,NULL,933.57 ,4.570 ,34.519 
15FI4_07080,2015/11/01,NULL,933.94 ,4.585 ,34.518 
15FI4_07080,2015/12/01,NULL,933.46 ,4.574 ,34.520 
15FI4_07080,2016/01/01,NULL,934.37 ,4.527 ,34.519 
15FI4_07080,2016/02/01,NULL,934.00 ,4.324 ,34.521 
15FI4_07080,2016/03/01,NULL,933.44 ,4.694 ,34.507 
15FI4_07080,2016/04/01,NULL,933.17 ,4.615 ,34.506 
15FI4_07080,2016/05/01,NULL,933.62 ,4.435 ,34.507 
15FI4_07080,2016/06/01,NULL,933.68 ,4.320 ,34.508 
15FI4_07080,2016/07/01,NULL,933.58 ,4.345 ,34.503 
15FI4_09717,2015/06/01,NULL,263.90 ,12.282 ,34.448 
15FI4_09717,2015/07/01,NULL,261.83 ,12.317 ,34.448 
15FI4_09717,2015/08/01,NULL,278.39 ,12.061 ,34.430 
15FI4_09717,2015/09/01,NULL,265.36 ,12.197 ,34.444 
15FI4_09717,2015/10/01,NULL,259.11 ,12.730 ,34.462 
15FI4_09717,2015/11/01,NULL,268.12 ,13.995 ,34.519 
15FI4_09717,2015/12/01,NULL,260.37 ,13.180 ,34.480 
15FI4_09717,2016/01/01,NULL,284.09 ,13.774 ,34.521 
15FI4_09717,2016/02/01,NULL,271.33 ,12.175 ,34.451 
15FI4_09717,2016/03/01,NULL,268.56 ,13.172 ,34.480 
15FI4_09717,2016/04/01,NULL,263.02 ,13.492 ,34.484 
15FI4_09717,2016/05/01,NULL,270.17 ,13.253 ,34.457 
15FI4_09717,2016/06/01,NULL,277.82 ,12.142 ,34.413 
15FI4_09717,2016/07/01,NULL,273.63 ,12.310 ,34.424 
15FI4_10366,2015/06/01,NULL,466.28 ,8.638 ,34.410 
15FI4_10366,2015/07/01,NULL,463.89 ,8.588 ,34.401 
15FI4_10366,2015/08/01,NULL,470.26 ,8.267 ,34.378 
15FI4_10366,2015/09/01,NULL,466.27 ,8.134 ,34.372 
15FI4_10366,2015/10/01,NULL,462.92 ,8.753 ,34.387 
15FI4_10366,2015/11/01,NULL,466.23 ,9.231 ,34.396 
15FI4_10366,2015/12/01,NULL,462.97 ,9.001 ,34.400 
15FI4_10366,2016/01/01,NULL,473.15 ,9.228 ,34.398 
15FI4_10366,2016/02/01,NULL,469.27 ,8.422 ,34.373 
15FI4_10366,2016/03/01,NULL,464.88 ,9.110 ,34.409 
15FI4_10366,2016/04/01,NULL,462.72 ,9.239 ,34.396 
15FI4_10366,2016/05/01,NULL,468.00 ,8.845 ,34.376 
15FI4_10366,2016/06/01,NULL,470.24 ,8.251 ,34.373 
15FI4_10366,2016/07/01,NULL,469.92 ,8.203 ,34.374 
15FI4_10407,2015/06/01,NULL,74.98 ,21.827 ,34.421 
15FI4_10407,2015/07/01,NULL,75.13 ,21.070 ,34.275 
15FI4_10407,2015/08/01,NULL,112.44 ,20.904 ,34.294 
15FI4_10407,2015/09/01,NULL,76.78 ,24.039 ,34.479 
15FI4_10407,2015/10/01,NULL,66.64 ,25.083 ,34.217 
15FI4_10407,2015/11/01,NULL,88.98 ,25.206 ,34.505 
15FI4_10407,2015/12/01,NULL,70.29 ,23.436 ,34.512 
15FI4_10407,2016/01/01,NULL,116.74 ,21.593 ,34.687 
15FI4_10407,2016/02/01,NULL,88.53 ,20.422 ,34.538 
15FI4_10407,2016/03/01,NULL,99.23 ,20.593 ,34.566 
15FI4_10407,2016/04/01,NULL,88.48 ,22.264 ,34.376 
15FI4_10407,2016/05/01,NULL,90.67 ,22.621 ,34.355 
15FI4_10407,2016/06/01,NULL,112.27 ,20.302 ,34.511 
15FI4_10407,2016/07/01,NULL,96.01 ,21.316 ,34.391 
15FI4_10422,2015/06/01,NULL,658.82 ,6.888 ,34.437 
15FI4_10422,2015/07/01,NULL,656.94 ,6.715 ,34.429 
15FI4_10422,2015/08/01,NULL,661.22 ,6.325 ,34.423 
15FI4_10422,2015/09/01,NULL,658.68 ,6.149 ,34.427 
15FI4_10422,2015/10/01,NULL,656.34 ,6.745 ,34.423 
15FI4_10422,2015/11/01,NULL,658.77 ,7.050 ,34.419 
15FI4_10422,2015/12/01,NULL,656.35 ,7.060 ,34.420 
15FI4_10422,2016/01/01,NULL,663.32 ,6.927 ,34.412 
15FI4_10422,2016/02/01,NULL,660.73 ,6.361 ,34.432 
15FI4_10422,2016/03/01,NULL,657.48 ,7.060 ,34.423 
15FI4_10422,2016/04/01,NULL,656.08 ,6.829 ,34.421 
15FI4_10422,2016/05/01,NULL,659.86 ,6.578 ,34.423 
15FI4_10422,2016/06/01,NULL,661.14 ,6.176 ,34.415 
15FI4_10422,2016/07/01,NULL,660.88 ,6.329 ,34.416 
