ID,date,time,depth,temperature,salinity
15FI3_10449,2016/01/01,NULL,2352.84 ,2.336 ,34.628 
15FI3_10449,2016/02/01,NULL,2352.22 ,2.330 ,34.628 
15FI3_10449,2016/03/01,NULL,2352.05 ,2.340 ,34.628 
15FI3_10449,2016/04/01,NULL,2352.14 ,2.337 ,34.628 
15FI3_10449,2016/05/01,NULL,2352.20 ,2.331 ,34.628 
15FI3_10449,2016/06/01,NULL,2352.21 ,2.330 ,34.628 
15FI3_10449,2016/07/01,NULL,2352.63 ,2.329 ,34.628 
15FI3_10449,2016/08/01,NULL,2353.56 ,2.334 ,34.628 
15FI3_10971,2015/07/01,NULL,234.34 ,12.866 ,34.479 
15FI3_10971,2015/08/01,NULL,241.90 ,12.781 ,34.471 
15FI3_10971,2015/09/01,NULL,277.19 ,11.798 ,34.445 
15FI3_10971,2015/10/01,NULL,253.43 ,13.041 ,34.491 
15FI3_10971,2015/11/01,NULL,287.70 ,13.243 ,34.486 
15FI3_10971,2015/12/01,NULL,252.79 ,13.759 ,34.515 
15FI3_10971,2016/01/01,NULL,259.86 ,13.697 ,34.521 
15FI3_10971,2016/02/01,NULL,234.53 ,12.881 ,34.483 
15FI3_10971,2016/03/01,NULL,226.73 ,13.820 ,34.509 
15FI3_10971,2016/04/01,NULL,227.67 ,14.220 ,34.381 
15FI3_10971,2016/05/01,NULL,234.70 ,14.075 ,34.508 
15FI3_10971,2016/06/01,NULL,238.47 ,13.074 ,34.461 
15FI3_10971,2016/07/01,NULL,253.33 ,13.113 ,34.462 
15FI3_10971,2016/08/01,NULL,291.75 ,12.710 ,34.472 
